"";"x"
"1";"cfn1465575"
"2";"cfn1478887"
"3";"cfn0594807"
"4";"cfn1358585"
"5";"cfn0572249"
"6";"cfn1441292"
"7";"cfn0587753"
"8";"cfn0323610"
"9";"gdev000062"
"10";"cfn2317900"
"11";"cfn2422698"
"12";"cfn0240144"
"13";"cfn0258622"
"14";"cfn2854899"
"15";"cfn0136078"
"16";"cfn0102438"
"17";"Excalibur_c62837_164"
"18";"cfn3533384"
"19";"cfn0357141"
"20";"cfn0935307"
"21";"cfn0173784"
"22";"Kukri_c2796_1436"
"23";"cfn1079294"
"24";"cfn0135963"
"25";"cfn0523251"
"26";"cfn0259583"
"27";"cfn0238964"
"28";"cfn0526050"
"29";"cfn1031447"
"30";"cfn0209453"
"31";"cfn0514932"
"32";"cfn0125110"
"33";"contig101447_144_BS00081002"
"34";"cfn0276150"
"35";"cfn0227313"
"36";"cfn0382713"
"37";"cfn0231858"
"38";"cfn0104872"
"39";"cfn0531318"
"40";"cfn0150133"
"41";"cfn0543936"
"42";"cfn0372392"
"43";"cfn0599170"
"44";"cfn0255595"
"45";"cfn0151664"
"46";"cfn1462909"
"47";"cfn0601375"
"48";"cfn0589260"
"49";"cfn1465309"
"50";"cfn0249519"
"51";"cfn0600116"
"52";"cfn1468792"
"53";"cfn0383210"
"54";"cfn0177069"
"55";"cfn1483426"
"56";"cfn0228962"
"57";"cfn0299057"
"58";"cfn0579079"
"59";"cfn0577313"
"60";"cfn0332486"
"61";"cfn0287789"
"62";"cfn0351175"
"63";"cfn0442939"
"64";"cfn1399751"
"65";"cfn0132714"
"66";"cfn0158515"
"67";"cfn0260243"
"68";"cfn0193204"
"69";"cfn1419637"
"70";"cfn1386361"
"71";"cfn0573156"
"72";"cfn0332819"
"73";"cfn0316536"
"74";"cfn0300737"
"75";"cfn0630201"
"76";"cfn0273742"
"77";"cfn1715935"
"78";"cfn0626272"
"79";"cfn0604035"
"80";"cfn1563201"
"81";"cfn0623138"
"82";"cfn0444595"
"83";"cfn0377117"
"84";"cfn0377116"
"85";"cfn0611532"
"86";"cfn1555151"
"87";"cfn0627155"
"88";"cfn0172823"
"89";"cfn0435573"
"90";"cfn0118107"
"91";"cfn1781554"
"92";"cfn0005435"
"93";"cfn1917723"
"94";"cfn1894302"
"95";"cfn0314733"
"96";"cfn0314734"
"97";"cfn0366029"
"98";"cfn0665590"
"99";"cfn1818062"
"100";"cfn0106909"
"101";"cfn0141185"
"102";"cfn0368910"
"103";"cfn0147959"
"104";"cfn0677508"
"105";"cfn0127426"
"106";"cfn0684772"
"107";"cfn2143088"
"108";"cfn0175155"
"109";"cfn0380488"
"110";"cfn0253911"
"111";"cfn0158801"
"112";"cfn2215309"
"113";"cfn2215473"
"114";"cfn2217757"
"115";"cfn2223444"
"116";"cfn2217441"
"117";"cfn2218870"
"118";"cfn2217838"
"119";"cfn0719490"
"120";"cfn0441134"
"121";"cfn0373895"
"122";"cfn0156768"
"123";"cfn0341988"
"124";"cfn2203059"
"125";"cfn0187006"
"126";"cfn0377189"
"127";"cfn2202057"
"128";"cfn0717349"
"129";"cfn0717793"
"130";"cfn2196076"
"131";"cfn2198685"
"132";"cfn2198453"
"133";"cfn2199932"
"134";"cfn0716439"
"135";"cfn0717833"
"136";"cfn2197764"
"137";"cfn2363311"
"138";"cfn0105005"
"139";"cfn0728811"
"140";"cfn2255199"
"141";"cfn0392816"
"142";"cfn0410183"
"143";"cfn0174284"
"144";"cfn2298074"
"145";"cfn0322442"
"146";"cfn0111759"
"147";"cfn0411583"
"148";"cfn0199267"
"149";"cfn0295769"
"150";"cfn0353077"
"151";"cfn0306179"
"152";"cfn2327047"
"153";"cfn0170365"
"154";"cfn0245698"
"155";"cfn2428396"
"156";"cfn0433689"
"157";"cfn2387392"
"158";"cfn2455199"
"159";"cfn0442697"
"160";"cfn0369161"
"161";"cfn2450414"
"162";"cfn0440160"
"163";"cfn0266502"
"164";"cfn0113406"
"165";"cfn0760102"
"166";"cfn0102942"
"167";"wsnp_Ex_c2505_4679749"
"168";"cfn0308247"
"169";"cfn0302796"
"170";"cfn0787104"
"171";"cfn2630462"
"172";"cfn0287852"
"173";"cfn0787582"
"174";"cfn0805921"
"175";"cfn0104029"
"176";"cfn0798519"
"177";"cfn0786527"
"178";"cfn0270679"
"179";"cfn0824637"
"180";"cfn0355569"
"181";"cfn0426985"
"182";"cfn0367666"
"183";"cfn0349001"
"184";"cfn0255338"
"185";"cfn0271142"
"186";"cfn2808441"
"187";"cfn0321327"
"188";"cfn0213976"
"189";"cfn0382891"
"190";"cfn0128616"
"191";"cfn0398642"
"192";"cfn0278007"
"193";"cfn2881610"
"194";"cfn3029841"
"195";"cfn3032026"
"196";"cfn0228980"
"197";"cfn3037217"
"198";"cfn0858754"
"199";"cfn0858716"
"200";"cfn3175527"
"201";"cfn3167598"
"202";"cfn0338991"
"203";"cfn0412694"
"204";"cfn3154378"
"205";"cfn3161559"
"206";"cfn0004845"
"207";"cfn0339586"
"208";"cfn3357697"
"209";"cfn0914597"
"210";"cfn0353010"
"211";"cfn0888172"
"212";"cfn0299181"
"213";"cfn0205394"
"214";"cfn0122907"
"215";"cfn0160907"
"216";"cfn0893782"
"217";"cfn0894590"
"218";"cfn0356842"
"219";"cfn0349642"
"220";"cfn3531553"
"221";"cfn3556941"
"222";"cfn0296538"
"223";"cfn0342925"
"224";"cfn0937570"
"225";"cfn3501431"
"226";"cfn0924583"
"227";"cfn0922143"
"228";"cfn3605098"
"229";"cfn0304588"
"230";"cfn0232538"
"231";"cfn3621806"
"232";"cfn3611511"
"233";"cfn0395246"
"234";"cfn0137339"
"235";"cfn0442070"
"236";"cfn0220870"
"237";"cfn2961048"
"238";"cfn3046792"
"239";"cfn0401851"
"240";"cfn0448666"
