"";"GENOTYPE";"REPLICATE";"BLOCK";"SENESCENCE";"DATE";"ID"
"1";"APACHE";1;1;0;0;24
"2";"ALTIGO";1;1;0;0;16
"3";"BERMUDE";1;1;0;0;46
"4";"PREMIO";1;1;0;0;168
"5";"EINSTEIN";1;2;0;0;75
"6";"CENTENAIRE";1;1;0;0;61
"7";"KWS_PODIUM";1;2;0;0;131
"8";"AMBITION";1;1;0;0;20
"9";"CORVUS";1;1;0;0;69
"10";"HEREWARD";1;1;0;0;108
"11";"LEAR";1;1;0;0;134
"12";"OAKLEY";1;1;0;0;148
"13";"ALCHEMY";1;1;0;0;9
"14";"AMUNDSEN";1;1;0;0;21
"15";"CLAIRE";1;1;0;0;66
"16";"ESKET";1;1;0;0;78
"17";"GALVANO";1;2;0;0;99
"18";"GARANTUS";1;1;0;0;100
"19";"HAUSSMANN";1;1;0;0;106
"20";"ISTABRAQ";1;1;0;0;122
"21";"JB_DIEGO";1;1;0;0;124
"22";"LIMES";1;1;0;0;135
"23";"MANAGER";1;1;0;0;137
"24";"OXEBO";1;1;0;0;154
"25";"PAJERO";1;2;0;0;155
"26";"SY_TOLBIAC";1;2;0;0;209
"27";"PIERROT";1;1;0;0;163
"28";"PR22R20";1;1;0;0;166
"29";"RAZZANO";1;1;0;0;173
"30";"ROBIGUS";1;1;0;0;177
"31";"ROSARIO";1;1;0;0;179
"32";"SAMURAI";1;1;0;0;184
"33";"FAIRPLAY";1;1;0;0;86
"34";"SELEKT";1;1;0;0;189
"35";"SEYRAC";1;1;0;0;190
"36";"SOPHYTRA";1;1;0;0;200
"37";"TIMING";1;1;0;0;211
"38";"VISCOUNT";1;1;0;0;218
"39";"WARRIOR";1;1;0;0;219
"40";"XI19";1;1;0;0;220
"41";"ALCAZAR";1;2;0;0;8
"42";"ANTONIUS";1;2;0;0;23
"43";"RONSARD";1;3;0;0;178
"44";"EPHOROS";1;1;0;0;76
"45";"EXPERT";1;2;0;0;84
"46";"FLAUBERT";1;2;0;0;90
"47";"GALLANT";1;3;0;0;96
"48";"GLADIATOR";1;2;0;0;102
"49";"GLASGOW";1;2;0;0;103
"50";"IRIDIUM";1;3;0;0;120
"51";"KALAHARI";1;2;0;0;125
"52";"KALYSTAR";1;2;0;0;127
"53";"KOMETUS";1;1;0;0;129
"54";"KORELI";1;2;0;0;130
"55";"MARKSMAN";1;2;0;0;139
"56";"PARADOR";1;1;0;0;159
"57";"PEPIDOR";1;2;0;0;160
"58";"PERFECTOR";1;2;0;0;161
"59";"PIRENEO";1;2;0;0;164
"60";"BERGAMO";1;2;0;0;45
"61";"RACINE";1;1;0;0;172
"62";"SANKARA";1;3;0;0;185
"63";"SCOR";1;2;0;0;187
"64";"SOGOOD";1;2;0;0;193
"65";"SPONSOR";1;2;0;0;202
"66";"SY_EPSON";1;1;0;0;206
"67";"TRAPEZ";1;2;0;0;213
"68";"ALIZEO";1;2;0;0;13
"69";"ALLEZ_Y";1;3;0;0;14
"70";"ARISTOTE";1;3;0;0;28
"71";"ATTITUDE";1;2;0;0;34
"72";"ATTLASS";1;3;0;0;35
"73";"AZZERTI";1;2;0;0;40
"74";"BAROK";1;4;0;0;42
"75";"BOISSEAU";1;3;0;0;49
"76";"BOREGAR";1;3;0;0;52
"77";"CAMP_REMY";1;2;0;0;54
"78";"CH_NARA";1;3;0;0;63
"79";"CHARGER";1;2;0;0;64
"80";"CHEVALIER";1;2;0;0;65
"81";"CORDIALE";1;3;0;0;68
"82";"CROUSTY";1;3;0;0;72
"83";"DIALOG";1;3;0;0;73
"84";"DINOSOR";1;3;0;0;74
"85";"FOLKLOR";1;3;0;0;92
"86";"INSTINCT";1;4;0;0;118
"87";"INTERET";1;2;0;0;119
"88";"MARCELIN";1;3;0;0;138
"89";"NIRVANA";1;3;0;0;145
"90";"ORCAS";1;2;0;0;151
"91";"PAPAGENO";1;2;0;0;158
"92";"PHARE";1;2;0;0;162
"93";"PLAYER";1;3;0;0;165
"94";"RENAN";1;3;0;0;175
"95";"SEBASTO";1;3;0;0;188
"96";"SOLUTION";1;2;0;0;199
"97";"TAPIDOR";1;3;0;0;210
"98";"TOISONDOR";1;2;0;0;212
