"exact";"over";"para_ind";"method";"error";"partial"
0.63;1;1;"g";0.0880471916037839;0
0.77;0.98;2;"g";0.142936369418936;0
0.56;1;1;"g_saemix";0.102083754221167;0
0.74;1;2;"g_saemix";0.149825049157757;0
0.97979797979798;1;1;"sgd";NA;0
1;1;2;"sgd";NA;0
0.6;1;1;"g";0.0964111056593069;1
0.52;0.53;2;"g";0.6567358929598;1
0.61;1;1;"g_saemix";0.106838895495343;1
0.92;1;2;"g_saemix";0.407273990288642;1
0.96969696969697;1;1;"sgd";NA;1
1;1;2;"sgd";NA;1
0.61;1;1;"g";0.104214164653063;2
0.26;0.29;2;"g";1.18809371940137;2
0.54;1;1;"g_saemix";0.111079629874973;2
0.8;1;2;"g_saemix";0.662638357173;2
0.98989898989899;1;1;"sgd";NA;2
1;1;2;"sgd";NA;2
0.59;1;1;"g";0.112238589502656;3
0.13;0.16;2;"g";1.70125400702759;3
0.57;1;1;"g_saemix";0.115894246486082;3
0.71;0.99;2;"g_saemix";0.904895121011799;3
1;1;1;"sgd";NA;3
0.97979797979798;1;2;"sgd";NA;3
0.59;1;1;"g";0.1204277522287;4
0.03;0.05;2;"g";2.22227792716673;4
0.49;1;1;"g_saemix";0.120226438242845;4
0.64;0.91;2;"g_saemix";1.15135626206875;4
1;1;1;"sgd";NA;4
1;1;2;"sgd";NA;4
